UNH ID #,samplename ,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes
198007,7,03-Aug-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF15,general water chemistry,
198008,25,03-Aug-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF15,general water chemistry,
198009,13,03-Aug-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF16,general water chemistry,
198010,125,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF12,general water chemistry,
198011,184,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF12,general water chemistry,
198012,180,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,general water chemistry,
198013,187,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,general water chemistry,
198014,171,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,general water chemistry,
198015,173,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,general water chemistry,
198016,64,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,general water chemistry,
198017,176,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,general water chemistry,
198018,59,06-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF7,general water chemistry,
198019,48,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF13,general water chemistry,
198020,24,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF14,general water chemistry,
198021,41,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF14,general water chemistry,
198022,57,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF15,general water chemistry,
198023,157,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF15,general water chemistry,
198024,52,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF16,general water chemistry,
198025,92,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF17,general water chemistry,
198026,74,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF18,general water chemistry,
198027,78,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF19,general water chemistry,
198028,97,07-Sep-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF19,general water chemistry,
198029,112,30-May-23,,QuEST,New Mexico,4.41,0.42,,,,,,Sante Fe Watershed,USF1,for DOC/TDN analysis,
198030,60,30-May-23,,QuEST,New Mexico,4.37,0.44,,,,,,Sante Fe Watershed,USF1,for DOC/TDN analysis,
