UNH ID #,Sample Name,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes,pH,Cond,Spec_Cond,DO_Conc,DO%,Temperature,Turbidity
199012,2024-01-19_BRM05_Rep 1,19-Jan-24,,QuEST,Arkansas,1.04,1.31,31.04,3.05,9.29,1.35,9.34,6.40,1.53,4.37,24.53,Brush Creek,BRM05,,,,,,,,,
199013,2024-01-19_BRM05_Rep 2,19-Jan-24,,QuEST,Arkansas,1.13,1.36,-1.28,3.84,8.97,1.30,8.72,6.64,1.48,4.67,28.50,Brush Creek,BRM05,,,,,,,,,
199014,2024-01-19_BRF01_Rep 1,19-Jan-24,,QuEST,Arkansas,1.44,0.17,42.23,1.68,4.20,0.05,9.80,3.95,0.83,5.26,61.37,Brush Creek,BRF01,,,,,,,,,
199015,2024-01-19_BRM06_Rep 1,19-Jan-24,,QuEST,Arkansas,0.88,1.36,1.62,3.45,8.51,1.31,4.49,4.75,1.45,3.59,21.53,Brush Creek,BRM06,,,,,,,,,
199016,2024-01-19_BRM06_Rep 2,19-Jan-24,,QuEST,Arkansas,0.99,1.52,21.51,3.05,9.87,1.49,4.94,5.72,1.81,4.23,19.78,Brush Creek,BRM06,,,,,,,,,
199017,2024-01-19_BRM07_Rep 1,19-Jan-24,,QuEST,Arkansas,0.80,5.25,1.83,1.68,15.76,3.78,4.99,6.31,1.20,4.98,27.75,Brush Creek,BRM07,,,,,,,,,
199018,2024-01-19_BRM07_Rep 2,19-Jan-24,,QuEST,Arkansas,0.86,5.46,4.31,1.68,15.11,3.75,5.03,6.18,1.23,4.86,27.94,Brush Creek,BRM07,,,,,,,,,
199019,2024-01-19_BRA02_Rep 1,19-Jan-24,,QuEST,Arkansas,0.57,5.13,29.38,4.43,10.73,3.72,0.57,7.31,1.44,1.26,28.16,Brush Creek,BRA02,,,,,,,,,
199020,2024-01-19_BRA02_Rep 2,19-Jan-24,,QuEST,Arkansas,0.59,5.25,29.38,4.82,9.70,3.59,0.51,6.72,1.34,1.15,24.74,Brush Creek,BRA02,,,,,,,,,
199021,2024-02-16_BRM01_Rep 1,16-Feb-24,,QuEST,Arkansas,1.01,4.00,83.12,3.05,9.41,3.38,6.32,6.69,2.24,3.37,29.95,Brush Creek,BRM01,,,,,,,,,
199022,2024-02-16_BRM01_Rep 2,16-Feb-24,,QuEST,Arkansas,1.13,4.00,63.93,3.05,9.41,3.39,6.65,6.57,2.21,3.22,33.47,Brush Creek,BRM01,,,,,,,,,
199023,2024-02-16_BRMQ1_Rep 1,16-Feb-24,,QuEST,Arkansas,0.94,4.23,79.24,3.45,8.99,3.45,6.21,6.55,2.28,3.45,29.22,Brush Creek,BRMQ1,,,,,,,,,
199024,2024-02-16_BRMQ1_Rep 2,16-Feb-24,,QuEST,Arkansas,0.69,1.17,60.05,3.64,9.21,3.49,6.53,6.68,2.31,3.60,31.49,Brush Creek,BRMQ1,,,,,,,,,
199025,2024-02-16_BRAA1_Rep 1,16-Feb-24,,QuEST,Arkansas,1.27,2.15,62.71,1.48,9.71,2.01,3.09,6.43,1.94,2.59,28.58,Brush Creek,BRAA1,,,,,,,,,
199026,2024-02-16_BRA01_Rep 1,16-Feb-24,,QuEST,Arkansas,0.70,4.70,65.16,15.61,12.67,3.67,1.38,7.34,2.62,1.88,30.97,Brush Creek,BRA01,,,,,,,,,
199027,2024-02-16_BRA01_Rep 2,16-Feb-24,,QuEST,Arkansas,0.91,4.61,45.97,13.65,12.50,3.65,1.28,7.67,2.76,1.97,28.24,Brush Creek,BRA01,,,,,,,,,
199028,2024-02-16_BRMQ3_Rep 1,16-Feb-24,,QuEST,Arkansas,1.87,2.79,43.72,61.15,6.26,2.63,11.50,8.57,3.55,5.71,21.78,Brush Creek,BRMQ3,,,,,,,,,
199029,2024-02-16_BRMQ3_Rep 2,16-Feb-24,,QuEST,Arkansas,1.68,2.95,22.49,46.82,6.28,2.42,11.63,8.77,3.53,5.77,26.27,Brush Creek,BRMQ3,,,,,,,,,
199030,2024-02-16_BRMQ4_Rep 1,16-Feb-24,,QuEST,Arkansas,1.23,0.83,80.46,2.86,7.31,0.74,7.86,5.64,1.77,3.96,23.96,Brush Creek,BRMQ4,,,,,,,,,
199031,2024-02-16_BRMQ4_Rep 2,16-Feb-24,,QuEST,Arkansas,1.35,0.88,58.83,2.86,7.41,0.75,8.52,6.04,1.83,4.19,21.19,Brush Creek,BRMQ4,,,,,,,,,
199032,2024-02-16_BRD01_Rep 1,16-Feb-24,,QuEST,Arkansas,0.90,3.60,14.74,1.48,9.15,3.19,10.74,6.88,1.35,4.57,36.89,Brush Creek,BRD01,,,,,,,,,
199033,2024-02-16_BRD01_Rep 2,16-Feb-24,,QuEST,Arkansas,1.11,3.74,61.89,1.68,9.18,3.20,10.83,7.09,1.47,4.82,41.08,Brush Creek,BRD01,,,,,,,,,
199034,2024-02-16_BRM05_Rep 1,16-Feb-24,,QuEST,Arkansas,,,44.54,2.66,7.09,0.66,6.66,5.88,1.75,3.97,20.71,Brush Creek,BRM05,,,,,,,,,
199035,2024-02-16_BRM05_Rep 2,16-Feb-24,,QuEST,Arkansas,,,10.65,3.84,7.43,0.67,6.86,6.03,1.87,3.92,23.58,Brush Creek,BRM05,,,,,,,,,
199036,2024-02-16_BRF01_Rep 1,16-Feb-24,,QuEST,Arkansas,,,9.84,1.88,6.63,0.07,13.15,5.63,1.32,7.25,50.21,Brush Creek,BRF01,,,,,,,,,
199037,2024-02-16_BRM06_Rep 1,16-Feb-24,,QuEST,Arkansas,,,5.76,2.86,8.02,1.01,4.35,5.05,1.90,3.64,19.14,Brush Creek,BRM06,,,,,,,,,
199038,2024-02-16_BRM06_Rep 2,16-Feb-24,,QuEST,Arkansas,,,7.18,2.86,7.95,0.99,4.46,4.90,1.76,3.57,23.16,Brush Creek,BRM06,,,,,,,,,
199039,2024-02-16_BRM07_Rep 1,16-Feb-24,,QuEST,Arkansas,,,9.43,2.07,8.77,2.71,3.43,5.10,1.20,3.86,24.28,Brush Creek,BRM07,,,,,,,,,
199040,2024-02-16_BRM07_Rep 2,16-Feb-24,,QuEST,Arkansas,,,7.39,1.68,8.04,2.51,3.27,4.61,1.09,3.51,23.57,Brush Creek,BRM07,,,,,,,,,
199041,2024-02-16_BRA02_Rep 1,16-Feb-24,,QuEST,Arkansas,,,9.23,2.66,7.97,3.41,0.47,5.84,1.05,1.17,23.99,Brush Creek,BRA02,,,,,,,,,
199042,2024-02-16_BRA02_Rep 2,16-Feb-24,,QuEST,Arkansas,,,10.86,2.27,8.91,3.65,0.63,6.53,1.18,1.28,30.04,Brush Creek,BRA02,,,,,,,,,
199043,2024-03-03_NIM01,03-Mar-24,,QuEST,Arkansas,,,,,,,,,,,,Niokaska Creek,NIM01,,,,,,,,,
199044,2024-03-03_NIM02,03-Mar-24,,QuEST,Arkansas,,,,,,,,,,,,Niokaska Creek,NIM02,,,,,,,,,
199045,2024-03-03_NIM12,03-Mar-24,,QuEST,Arkansas,,,,,,,,,,,,Niokaska Creek,NIM12,,,,,,,,,
199046,2024-03-03_TAM11,03-Mar-24,,QuEST,Arkansas,,,,,,,,,,,,Tanglewood Branch,TAM11,,,,,,,,,
199047,2024-03-03_TAM01,03-Mar-24,,QuEST,Arkansas,,,,,,,,,,,,Tanglewood Branch,TAM01,,,,,,,,,
199048,2024-03-03_TAM02,03-Mar-24,,QuEST,Arkansas,,,,,,,,,,,,Tanglewood Branch,TAM02,,,,,,,,,
199066,BMD0,22-Mar-24,10:00:00 AM,Lamprey,QuEST,,,2.65,,3.21,0.00,1.64,2.46,0.54,0.60,2.61,,,downstream from pipe,,6.02,19.2,33.1,12.18,90.4,3,4.20
199067,LMP0,22-Mar-24,11:47:00 AM,Lamprey,QuEST,,,4.31,,2.00,0.00,0.73,0.91,0.26,0.09,0.21,,,by stump,,3.93,10.4,19.6,10.07,69.4,0.3,2.30
199068,SBM,22-Mar-24,12:55:00 PM,Lamprey,QuEST,,,0.79,,3.93,0.00,1.18,3.29,0.27,0.28,0.65,,,,,4.66,14.3,26.1,12.73,90.3,1.3,0.50
199069,CTB,22-Mar-24,1:45:00 PM,Lamprey,QuEST,,,1.83,,2.08,0.01,1.37,1.32,0.22,0.38,1.34,,,,,5.08,10,18.7,13.76,96.3,0.8,0.80
